batch_index,batch_seed,algorithm_id,algorithm_label,driver_id,order_count,stop_count,total_km,eta_minutes,route_valid,default_algorithm_id
37,78,paired_order_greedy,Greedy Paired Orders,driver_37,8,16,77.11,185,TRUE,greedy_nearest
38,79,greedy_nearest,Greedy Nearest Stop,driver_38,8,16,66.76,160,TRUE,greedy_nearest
38,79,paired_order_greedy,Greedy Paired Orders,driver_38,8,16,89.4,215,TRUE,greedy_nearest
39,80,greedy_nearest,Greedy Nearest Stop,driver_39,8,16,44.27,106,TRUE,greedy_nearest
39,80,paired_order_greedy,Greedy Paired Orders,driver_39,8,16,78.58,189,TRUE,greedy_nearest
40,81,greedy_nearest,Greedy Nearest Stop,driver_40,8,16,68.96,166,TRUE,greedy_nearest
40,81,paired_order_greedy,Greedy Paired Orders,driver_40,8,16,84.9,204,TRUE,greedy_nearest
41,82,greedy_nearest,Greedy Nearest Stop,driver_41,8,16,41.26,99,TRUE,greedy_nearest
41,82,paired_order_greedy,Greedy Paired Orders,driver_41,8,16,77.45,186,TRUE,greedy_nearest
42,83,greedy_nearest,Greedy Nearest Stop,driver_42,8,16,52.94,127,TRUE,greedy_nearest
42,83,paired_order_greedy,Greedy Paired Orders,driver_42,8,16,79.28,190,TRUE,greedy_nearest
43,84,greedy_nearest,Greedy Nearest Stop,driver_43,8,16,41.18,99,TRUE,greedy_nearest
43,84,paired_order_greedy,Greedy Paired Orders,driver_43,8,16,71.74,172,TRUE,greedy_nearest
44,85,greedy_nearest,Greedy Nearest Stop,driver_44,8,16,63.05,151,TRUE,greedy_nearest
44,85,paired_order_greedy,Greedy Paired Orders,driver_44,8,16,102.87,247,TRUE,greedy_nearest
45,86,greedy_nearest,Greedy Nearest Stop,driver_45,8,16,53.71,129,TRUE,greedy_nearest
45,86,paired_order_greedy,Greedy Paired Orders,driver_45,8,16,87.12,209,TRUE,greedy_nearest
46,87,greedy_nearest,Greedy Nearest Stop,driver_46,8,16,39.46,95,TRUE,greedy_nearest
46,87,paired_order_greedy,Greedy Paired Orders,driver_46,8,16,95.84,230,TRUE,greedy_nearest
47,88,greedy_nearest,Greedy Nearest Stop,driver_47,8,16,42.79,103,TRUE,greedy_nearest
47,88,paired_order_greedy,Greedy Paired Orders,driver_47,8,16,86.84,208,TRUE,greedy_nearest
48,89,greedy_nearest,Greedy Nearest Stop,driver_48,8,16,46.94,113,TRUE,greedy_nearest
48,89,paired_order_greedy,Greedy Paired Orders,driver_48,8,16,83.58,201,TRUE,greedy_nearest
49,90,greedy_nearest,Greedy Nearest Stop,driver_49,8,16,56.61,136,TRUE,greedy_nearest
49,90,paired_order_greedy,Greedy Paired Orders,driver_49,8,16,71.84,172,TRUE,greedy_nearest
50,91,greedy_nearest,Greedy Nearest Stop,driver_50,8,16,65.69,158,TRUE,greedy_nearest
50,91,paired_order_greedy,Greedy Paired Orders,driver_50,8,16,85.7,206,TRUE,greedy_nearest
51,92,greedy_nearest,Greedy Nearest Stop,driver_51,8,16,46.92,113,TRUE,greedy_nearest
51,92,paired_order_greedy,Greedy Paired Orders,driver_51,8,16,107.37,258,TRUE,greedy_nearest
52,93,greedy_nearest,Greedy Nearest Stop,driver_52,8,16,58.2,140,TRUE,greedy_nearest
52,93,paired_order_greedy,Greedy Paired Orders,driver_52,8,16,89.94,216,TRUE,greedy_nearest
53,94,greedy_nearest,Greedy Nearest Stop,driver_53,8,16,52.62,126,TRUE,greedy_nearest
53,94,paired_order_greedy,Greedy Paired Orders,driver_53,8,16,75.45,181,TRUE,greedy_nearest
54,95,greedy_nearest,Greedy Nearest Stop,driver_54,8,16,53.08,127,TRUE,greedy_nearest
54,95,paired_order_greedy,Greedy Paired Orders,driver_54,8,16,74.42,179,TRUE,greedy_nearest
55,96,greedy_nearest,Greedy Nearest Stop,driver_55,8,16,44.92,108,TRUE,greedy_nearest
55,96,paired_order_greedy,Greedy Paired Orders,driver_55,8,16,113.46,272,TRUE,greedy_nearest
56,97,greedy_nearest,Greedy Nearest Stop,driver_56,8,16,54.31,130,TRUE,greedy_nearest
56,97,paired_order_greedy,Greedy Paired Orders,driver_56,8,16,86.19,207,TRUE,greedy_nearest
57,98,greedy_nearest,Greedy Nearest Stop,driver_57,8,16,51.9,125,TRUE,greedy_nearest
57,98,paired_order_greedy,Greedy Paired Orders,driver_57,8,16,85.72,206,TRUE,greedy_nearest
58,99,greedy_nearest,Greedy Nearest Stop,driver_58,8,16,52.83,127,TRUE,greedy_nearest
58,99,paired_order_greedy,Greedy Paired Orders,driver_58,8,16,86.14,207,TRUE,greedy_nearest
59,100,greedy_nearest,Greedy Nearest Stop,driver_59,8,16,60.84,146,TRUE,greedy_nearest
59,100,paired_order_greedy,Greedy Paired Orders,driver_59,8,16,83.79,201,TRUE,greedy_nearest
60,101,greedy_nearest,Greedy Nearest Stop,driver_60,8,16,47.64,114,TRUE,greedy_nearest
60,101,paired_order_greedy,Greedy Paired Orders,driver_60,8,16,75.41,181,TRUE,greedy_nearest
61,102,greedy_nearest,Greedy Nearest Stop,driver_61,8,16,57.74,139,TRUE,greedy_nearest
61,102,paired_order_greedy,Greedy Paired Orders,driver_61,8,16,104.22,250,TRUE,greedy_nearest
62,103,greedy_nearest,Greedy Nearest Stop,driver_62,8,16,55.5,133,TRUE,greedy_nearest
62,103,paired_order_greedy,Greedy Paired Orders,driver_62,8,16,65.16,156,TRUE,greedy_nearest
63,104,greedy_nearest,Greedy Nearest Stop,driver_63,8,16,50.53,121,TRUE,greedy_nearest
63,104,paired_order_greedy,Greedy Paired Orders,driver_63,8,16,72.05,173,TRUE,greedy_nearest
64,105,greedy_nearest,Greedy Nearest Stop,driver_64,8,16,45.48,109,TRUE,greedy_nearest
64,105,paired_order_greedy,Greedy Paired Orders,driver_64,8,16,98.9,237,TRUE,greedy_nearest
65,106,greedy_nearest,Greedy Nearest Stop,driver_65,8,16,56.72,136,TRUE,greedy_nearest
65,106,paired_order_greedy,Greedy Paired Orders,driver_65,8,16,88.43,212,TRUE,greedy_nearest
66,107,greedy_nearest,Greedy Nearest Stop,driver_66,8,16,58.58,141,TRUE,greedy_nearest
66,107,paired_order_greedy,Greedy Paired Orders,driver_66,8,16,83.02,199,TRUE,greedy_nearest
67,108,greedy_nearest,Greedy Nearest Stop,driver_67,8,16,60.87,146,TRUE,greedy_nearest
67,108,paired_order_greedy,Greedy Paired Orders,driver_67,8,16,98.78,237,TRUE,greedy_nearest
68,109,greedy_nearest,Greedy Nearest Stop,driver_68,8,16,39.25,94,TRUE,greedy_nearest
68,109,paired_order_greedy,Greedy Paired Orders,driver_68,8,16,76.89,185,TRUE,greedy_nearest
69,110,greedy_nearest,Greedy Nearest Stop,driver_69,8,16,60.21,145,TRUE,greedy_nearest
69,110,paired_order_greedy,Greedy Paired Orders,driver_69,8,16,93.29,224,TRUE,greedy_nearest
70,111,greedy_nearest,Greedy Nearest Stop,driver_70,8,16,55.79,134,TRUE,greedy_nearest
70,111,paired_order_greedy,Greedy Paired Orders,driver_70,8,16,81.03,194,TRUE,greedy_nearest
71,112,greedy_nearest,Greedy Nearest Stop,driver_71,8,16,55.14,132,TRUE,greedy_nearest
71,112,paired_order_greedy,Greedy Paired Orders,driver_71,8,16,99.13,238,TRUE,greedy_nearest
72,113,greedy_nearest,Greedy Nearest Stop,driver_72,8,16,52.45,126,TRUE,greedy_nearest
72,113,paired_order_greedy,Greedy Paired Orders,driver_72,8,16,98.23,236,TRUE,greedy_nearest
73,114,greedy_nearest,Greedy Nearest Stop,driver_73,8,16,55.05,132,TRUE,greedy_nearest
73,114,paired_order_greedy,Greedy Paired Orders,driver_73,8,16,96.34,231,TRUE,greedy_nearest
74,115,greedy_nearest,Greedy Nearest Stop,driver_74,8,16,54.02,130,TRUE,greedy_nearest
74,115,paired_order_greedy,Greedy Paired Orders,driver_74,8,16,72.64,174,TRUE,greedy_nearest
75,116,greedy_nearest,Greedy Nearest Stop,driver_75,8,16,53.21,128,TRUE,greedy_nearest
75,116,paired_order_greedy,Greedy Paired Orders,driver_75,8,16,74.8,180,TRUE,greedy_nearest
76,117,greedy_nearest,Greedy Nearest Stop,driver_76,8,16,55.02,132,TRUE,greedy_nearest
76,117,paired_order_greedy,Greedy Paired Orders,driver_76,8,16,101.09,243,TRUE,greedy_nearest
77,118,greedy_nearest,Greedy Nearest Stop,driver_77,8,16,52.15,125,TRUE,greedy_nearest
77,118,paired_order_greedy,Greedy Paired Orders,driver_77,8,16,80.92,194,TRUE,greedy_nearest
